claim_id,claim_text,verdict,confidence,category,source,icd10,severity
GT001,Elevated fasting glucose above 126 mg/dL on two separate tests is diagnostic of type 2 diabetes.,verified,0.95,diabetes,ADA Standards of Care 2024,E11,high
GT002,HbA1c of 6.5% or above on two tests confirms diabetes mellitus.,verified,0.95,diabetes,ADA Standards of Care 2024,E11,high
GT003,HbA1c of 9.0% indicates well-controlled diabetes.,refuted,0.92,diabetes,ADA Standards of Care 2024,E11,high
GT004,Metformin is the first-line pharmacological treatment for type 2 diabetes.,verified,0.93,diabetes,ADA Standards of Care 2024,E11,medium
GT005,A fasting glucose of 400 mg/dL is within normal range.,refuted,0.97,diabetes,ADA Standards of Care 2024,E11,critical
GT006,HbA1c between 5.7% and 6.4% indicates prediabetes.,verified,0.94,diabetes,ADA Standards of Care 2024,E11,medium
GT007,A fasting glucose of 110 mg/dL is diagnostic of type 2 diabetes.,refuted,0.90,diabetes,ADA Standards of Care 2024,E11,medium
GT008,Insulin resistance is a key feature of type 2 diabetes pathophysiology.,verified,0.92,diabetes,WHO Diabetes Report 2023,E11,medium
GT009,Type 1 diabetes is caused by autoimmune destruction of beta cells.,verified,0.95,diabetes,WHO Diabetes Report 2023,E10,high
GT010,Diabetic ketoacidosis is a complication of type 1 diabetes.,verified,0.94,diabetes,WHO Diabetes Report 2023,E10,critical
GT011,Hemoglobin below 13 g/dL in males indicates anemia.,verified,0.93,anemia,WHO Haemoglobin Thresholds 2011,D64,medium
GT012,Hemoglobin below 12 g/dL in females indicates anemia.,verified,0.93,anemia,WHO Haemoglobin Thresholds 2011,D64,medium
GT013,Hemoglobin of 2 g/dL is normal and requires no treatment.,refuted,0.97,anemia,WHO Haemoglobin Thresholds 2011,D64,critical
GT014,Iron deficiency is the most common cause of anemia worldwide.,verified,0.92,anemia,WHO Global Anaemia Estimates 2021,D50,medium
GT015,Vitamin B12 deficiency can cause megaloblastic anemia.,verified,0.94,anemia,Harrison's Principles of Internal Medicine,D51,medium
GT016,Ferritin below 11 ng/mL indicates iron deficiency.,verified,0.91,anemia,WHO Iron Deficiency Guidelines,D50,medium
GT017,Ferritin of 5 ng/mL in females is not clinically significant.,refuted,0.90,anemia,WHO Iron Deficiency Guidelines,D50,medium
GT018,Reticulocyte count is elevated in hemolytic anemia.,verified,0.89,anemia,Harrison's Principles of Internal Medicine,D58,medium
GT019,Sickle cell disease is an inherited hemoglobin disorder.,verified,0.95,anemia,WHO Sickle Cell Report,D57,high
GT020,Platelet count below 150000 per microliter defines thrombocytopenia.,verified,0.93,hematology,Harrison's Principles of Internal Medicine,D69,medium
GT021,Platelet count of 600000 is always benign.,refuted,0.91,hematology,Harrison's Principles of Internal Medicine,D75,medium
GT022,WBC above 11000 per microliter may indicate infection or inflammation.,verified,0.90,hematology,Harrison's Principles of Internal Medicine,D72,medium
GT023,WBC of 18000 suggests no infection.,refuted,0.92,hematology,Harrison's Principles of Internal Medicine,D72,high
GT024,Neutrophilia is commonly associated with bacterial infection.,verified,0.91,hematology,Harrison's Principles of Internal Medicine,D72,medium
GT025,Eosinophilia can indicate parasitic infection or allergic disease.,verified,0.89,hematology,Harrison's Principles of Internal Medicine,D72,medium
GT026,LDL cholesterol above 100 mg/dL increases cardiovascular risk.,verified,0.92,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,medium
GT027,LDL cholesterol above 190 mg/dL often indicates familial hypercholesterolemia.,verified,0.91,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,high
GT028,HDL cholesterol below 40 mg/dL in males increases cardiovascular risk.,verified,0.90,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,medium
GT029,HDL of 25 mg/dL in males is protective against heart disease.,refuted,0.93,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,medium
GT030,Total cholesterol above 240 mg/dL is considered high.,verified,0.91,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,medium
GT031,Statin therapy reduces cardiovascular mortality in high-risk patients.,verified,0.93,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,high
GT032,Triglycerides above 200 mg/dL are elevated.,verified,0.90,cardiology,ACC/AHA Cholesterol Guidelines 2019,E78,medium
GT033,Systolic blood pressure above 130 mmHg defines hypertension per AHA 2017.,verified,0.92,cardiology,AHA Hypertension Guidelines 2017,I10,medium
GT034,A single blood pressure reading of 140/90 confirms hypertension.,refuted,0.88,cardiology,AHA Hypertension Guidelines 2017,I10,medium
GT035,ACE inhibitors are first-line treatment for hypertension in diabetics.,verified,0.91,cardiology,AHA Hypertension Guidelines 2017,I10,medium
GT036,Hypertension is a major risk factor for stroke.,verified,0.95,cardiology,WHO Cardiovascular Disease Report,I10,high
GT037,Troponin elevation indicates myocardial injury.,verified,0.94,cardiology,ACC/AHA MI Guidelines,I21,critical
GT038,ST elevation on ECG indicates STEMI requiring urgent intervention.,verified,0.95,cardiology,ACC/AHA MI Guidelines,I21,critical
GT039,Aspirin is contraindicated in all cardiac patients.,refuted,0.92,cardiology,ACC/AHA MI Guidelines,I21,high
GT040,Beta blockers reduce mortality in heart failure with reduced ejection fraction.,verified,0.93,cardiology,ACC/AHA Heart Failure Guidelines,I50,high
GT041,Creatinine above 1.3 mg/dL in males may indicate impaired kidney function.,verified,0.91,nephrology,KDIGO CKD Guidelines 2012,N18,medium
GT042,Creatinine of 3.5 mg/dL indicates normal kidney function.,refuted,0.95,nephrology,KDIGO CKD Guidelines 2012,N18,critical
GT043,GFR below 60 mL/min/1.73m2 for 3 months defines chronic kidney disease.,verified,0.93,nephrology,KDIGO CKD Guidelines 2012,N18,high
GT044,Proteinuria is an early marker of kidney damage in diabetics.,verified,0.92,nephrology,KDIGO CKD Guidelines 2012,N18,medium
GT045,Hyperkalemia above 5.5 mEq/L requires urgent management.,verified,0.93,nephrology,Harrison's Principles of Internal Medicine,E87,critical
GT046,Potassium of 6.5 mEq/L is safe and requires no intervention.,refuted,0.94,nephrology,Harrison's Principles of Internal Medicine,E87,critical
GT047,Sodium below 135 mEq/L defines hyponatremia.,verified,0.92,nephrology,Harrison's Principles of Internal Medicine,E87,medium
GT048,Sodium of 120 mEq/L is within normal electrolyte range.,refuted,0.95,nephrology,Harrison's Principles of Internal Medicine,E87,critical
GT049,Dialysis is indicated when GFR falls below 15 mL/min.,verified,0.90,nephrology,KDIGO CKD Guidelines 2012,N18,critical
GT050,Urine albumin-to-creatinine ratio above 30 mg/g indicates microalbuminuria.,verified,0.91,nephrology,KDIGO CKD Guidelines 2012,N18,medium
GT051,TSH above 4.5 mIU/L suggests hypothyroidism.,verified,0.91,endocrinology,ATA Thyroid Guidelines 2014,E03,medium
GT052,TSH of 8.5 mIU/L is within the normal thyroid range.,refuted,0.93,endocrinology,ATA Thyroid Guidelines 2014,E03,high
GT053,TSH below 0.4 mIU/L suggests hyperthyroidism.,verified,0.91,endocrinology,ATA Thyroid Guidelines 2014,E05,medium
GT054,Levothyroxine is the standard treatment for hypothyroidism.,verified,0.93,endocrinology,ATA Thyroid Guidelines 2014,E03,medium
GT055,Graves disease is an autoimmune cause of hyperthyroidism.,verified,0.92,endocrinology,ATA Thyroid Guidelines 2014,E05,medium
GT056,Vitamin D deficiency is defined as serum 25-OH vitamin D below 20 ng/mL.,verified,0.91,endocrinology,Endocrine Society Vitamin D Guidelines,E55,medium
GT057,Vitamin D above 150 ng/mL can cause toxicity.,verified,0.90,endocrinology,Endocrine Society Vitamin D Guidelines,E55,high
GT058,Calcium above 10.5 mg/dL defines hypercalcemia.,verified,0.91,endocrinology,Harrison's Principles of Internal Medicine,E83,medium
GT059,ALT above 56 U/L suggests hepatocellular damage.,verified,0.91,hepatology,AASLD Liver Guidelines,K76,medium
GT060,ALT of 88 U/L is within normal liver enzyme range.,refuted,0.92,hepatology,AASLD Liver Guidelines,K76,medium
GT061,Bilirubin above 1.2 mg/dL indicates hyperbilirubinemia.,verified,0.91,hepatology,AASLD Liver Guidelines,K76,medium
GT062,Hepatitis B surface antigen positivity indicates active or chronic infection.,verified,0.93,hepatology,WHO Hepatitis B Guidelines,B18,high
GT063,Elevated AST with elevated ALT suggests liver parenchymal disease.,verified,0.90,hepatology,AASLD Liver Guidelines,K76,medium
GT064,Alcohol consumption is a major cause of liver cirrhosis.,verified,0.93,hepatology,AASLD Liver Guidelines,K74,high
GT065,Albumin below 3.5 g/dL suggests malnutrition or chronic liver disease.,verified,0.90,hepatology,Harrison's Principles of Internal Medicine,K76,medium
GT066,PSA above 4 ng/mL may indicate prostate pathology requiring evaluation.,verified,0.89,oncology,AUA Prostate Cancer Guidelines,C61,medium
GT067,CA-125 elevation is specific to ovarian cancer diagnosis.,refuted,0.90,oncology,ASCO Ovarian Cancer Guidelines,C56,medium
GT068,CEA is used as a tumor marker for colorectal cancer monitoring.,verified,0.90,oncology,ASCO Colorectal Cancer Guidelines,C18,medium
GT069,Mammography can detect breast cancer up to 3 years before clinical presentation.,verified,0.91,oncology,WHO Breast Cancer Screening,C50,high
GT070,Pap smear screens for cervical cancer caused by HPV.,verified,0.93,oncology,WHO Cervical Cancer Guidelines,C53,high
GT071,Consolidation on chest X-ray is associated with pneumonia.,verified,0.92,radiology,WHO Diagnostic Imaging Protocols,J18,high
GT072,Ground-glass opacity on CT is a typical finding in COVID-19 pneumonia.,verified,0.91,radiology,WHO COVID-19 Imaging Guidelines,U07,high
GT073,Pneumothorax appears as absent lung markings on chest X-ray.,verified,0.92,radiology,WHO Diagnostic Imaging Protocols,J93,critical
GT074,Pleural effusion causes blunting of costophrenic angle on chest X-ray.,verified,0.91,radiology,WHO Diagnostic Imaging Protocols,J90,medium
GT075,Bamboo spine appearance is pathognomonic of ankylosing spondylitis.,verified,0.92,radiology,WHO Diagnostic Imaging Protocols,M45,medium
GT076,Sunburst periosteal reaction is associated with osteosarcoma.,verified,0.93,radiology,WHO Diagnostic Imaging Protocols,C40,critical
GT077,Free air under diaphragm on X-ray indicates bowel perforation.,verified,0.94,radiology,WHO Diagnostic Imaging Protocols,K63,critical
GT078,Microcalcifications on mammography may indicate early breast malignancy.,verified,0.91,radiology,WHO Breast Cancer Screening,C50,high
GT079,Dilated bowel loops with air-fluid levels indicate intestinal obstruction.,verified,0.92,radiology,WHO Diagnostic Imaging Protocols,K56,critical
GT080,Honeycombing on CT is characteristic of pulmonary fibrosis.,verified,0.91,radiology,WHO Diagnostic Imaging Protocols,J84,medium
GT081,CRP above 10 mg/L indicates significant inflammation.,verified,0.90,immunology,Harrison's Principles of Internal Medicine,R79,medium
